SampleID	Biosample	ExperimentHifi	ExperimentClr	New Biosample	New Secondary
NA19238	SAMN00001694				
NA19239	SAMN00001695				
NA19240	SAMN00001696				
HG00731	SAMN09933722	ERX3852661		SAMN00006579	SRS008745
HG00732	SAMN09933723	ERX3873455		SAMN00006580	SRS008746
HG00733	SAMN00006581	ERX3831682			
HG00512	SAMN00006465				
HG00513	SAMN00006466				
HG00514	SAMN00006467				
HG03727	SAMN01091013				
HG03721	SAMN01091014				
HG03732	SAMN01096775				
HG01571	SAMN00249675				
HG01572	SAMN00249676				
HG01573	SAMN00249677				
HG00267	SAMN00006371				
HG00269	SAMN00006373				
HG00171					
HG02585					
HG02586					
HG02587					
HG01112					
HG01113					
HG01114					
HG02020					
HG02019					
HG02018					
NA19443					
NA19440					
NA19036					
NA06984					
NA06989					
NA12329	SAMN06161387				
HG02009					
HG02010					
HG02011	SAMN00255129				
NA19982					
NA19713					
NA19983	SAMN00007824				
HG03370					
HG03369					
HG03371	SAMN01090902				
HG02490					
HG02491					
HG02492	SAMN00779992				
HG03006					
HG03007					
HG03009	SAMN01096687				
HG03682					
HG03684					
HG03683	SAMN01090976				
HG03063					
HG03064					
HG03065	SAMN01761236				
NA18530					
NA18531					
NA18534					
HG01503					
HG01504					
HG01505					
NA19648					
NA19649					
NA19650					
NA18940					
NA18941					
NA18939					
HG00844					
HG00851					
HG00864					
NA20845					
NA20846					
NA20847					
NA20508					
NA20510					
NA20509					
HG00097					
HG00098					
HG00096					
HG01596					
